total,date
20.4,"March 30-31, 1890"
12.8,"Feb. 26, 1906"
13.3,"Feb. 16-17, 1910"
15.6,"Feb. 20-21, 1912"
12.1,"March 24, 1912"
13.0,"Feb. 12-13, 1914"
12.0,"Dec. 19, 1973"
12.5,"Jan. 16-17, 1978"
13.9,"Jan. 30-31, 1982"
12.7,"March 24-25, 2013"
10.8,"Jan. 5, 2014"
